incentive_id,incentive_name,company_name,score,justification
IN01,SIFIDE II - Sistema de Incentivos Fiscais em I&D Empresarial,"BSCI, LDA",9.0,"BSCI, LDA operates in the information technology sector, which is eligible for R&D tax credits. Their activities in project management and software development align well with R&D activities."
IN01,SIFIDE II - Sistema de Incentivos Fiscais em I&D Empresarial,"ETHERNET - SOLUÇÕES INFORMÁTICAS, LDA",9.0,"As a company focused on IT consulting and system integration, ETHERNET is well-positioned to benefit from SIFIDE II due to its potential R&D expenditures in technology development."
IN01,SIFIDE II - Sistema de Incentivos Fiscais em I&D Empresarial,"J.JM FERREIRA GOMES, LDA",8.5,"This company engages in scientific and technical consulting, which often involves R&D activities, making it a strong candidate for the SIFIDE II program."
IN01,SIFIDE II - Sistema de Incentivos Fiscais em I&D Empresarial,"ALMANSOR - EQUIPAMENTOS INDUSTRIAIS, LDA",8.0,"ALMANSOR's focus on industrial machinery and equipment can involve R&D for new technologies, qualifying them for the tax credits under SIFIDE II."
IN01,SIFIDE II - Sistema de Incentivos Fiscais em I&D Empresarial,"ANTÓNIO DIAS & FERNANDO FERREIRA - ALUMÍNIOS, LDA",7.5,"This company’s activities in manufacturing and installation of aluminum products may include R&D efforts, making them eligible for the SIFIDE II tax incentives."
IN02,Portugal 2030 - Inovação Empresarial (Compete 2030),"PLURIMÁRMORES, LDA",9.5,"This company is directly involved in the manufacturing of marble and similar stone articles, aligning perfectly with the eligible sector and activities of the incentive program."
IN02,Portugal 2030 - Inovação Empresarial (Compete 2030),"MORBEL - MÁRMORES E GRANITOS DE VISEU, LDA",9.0,"MORBEL specializes in the exploration, transformation, and commerce of marbles and granites, making it a strong candidate for the innovation grant focused on manufacturing."
IN02,Portugal 2030 - Inovação Empresarial (Compete 2030),"FRAZÃO - ROCHAS, S.A.",8.5,"FRAZÃO operates in the manufacturing of marble and similar stone articles, which fits well within the eligible sectors and activities of the program."
IN02,Portugal 2030 - Inovação Empresarial (Compete 2030),"J.MORGADO & LOUREIRO DA CRUZ, LDA",8.0,"This company is engaged in the commerce and industry of marbles and granites, aligning with the program's focus on manufacturing and innovation."
IN02,Portugal 2030 - Inovação Empresarial (Compete 2030),"MULTIPIERRE - GRANITOS E ROCHAS ORNAMENTAIS, SOCIEDADE UNIPESSOAL, LDA",7.5,"MULTIPIERRE focuses on the extraction and commercialization of granites and ornamental rocks, which fits the eligible activities of investment in productive capacity."
IN03,Portugal 2030 - Digitalização das Empresas,"TROVASNAMÃO, UNIPESSOAL, LDA",9.5,"This company is engaged in computer programming activities, which aligns perfectly with the eligible activities for digital transformation projects under the incentive program."
IN03,Portugal 2030 - Digitalização das Empresas,"VISIONSPACE PORTUGAL, UNIPESSOAL, LDA",9.0,"As a company focused on computer programming activities, it is well-positioned to implement digital tools and solutions, making it a strong candidate for the grant."
IN03,Portugal 2030 - Digitalização das Empresas,"PARKSIDE INTERACTIVE TECHNOLOGY, UNIPESSOAL, LDA",8.8,"This company specializes in software development services, which is a key area of focus for the digitalization initiative, thus making it a suitable match."
IN03,Portugal 2030 - Digitalização das Empresas,"ALTOGA II CLOUD SOFTWARE, UNIPESSOAL, LDA",8.5,"With a focus on cloud software and information technology services, this company aligns well with the objectives of the digital transformation projects outlined in the incentive program."
IN03,Portugal 2030 - Digitalização das Empresas,"OLINFORM - CONSULTADORIA E SERVIÇOS INFORMÁTICOS, LDA",8.0,"This company provides IT consulting services, which are essential for digital transformation projects, making it a relevant candidate for the grant."
IN04,PRR - Inovação e Transição Digital (C16),"METROMOLDE - TECNOLOGIA DE MOLDES, LDA",9.5,"This company specializes in the manufacturing of metallic moulds, aligning perfectly with the eligible sector of Technology Manufacturing and is likely involved in R&D projects."
IN04,PRR - Inovação e Transição Digital (C16),"MOLDSANDMORE, LDA",9.0,"With a focus on the manufacturing of metallic moulds for various applications, this company fits well within the eligible sector and activities related to digital transformation."
IN04,PRR - Inovação e Transição Digital (C16),"DIFMOLD - MOLDMAKING SOLUTIONS, LDA",8.5,"This company engages in the manufacturing and maintenance of moulds, which is relevant to the Technology Manufacturing sector and could involve R&D collaborations."
IN04,PRR - Inovação e Transição Digital (C16),"IRMÃOS MELO, LDA",8.0,"As a manufacturer of metallic moulds, this company is well-positioned within the eligible sector and could potentially engage in digital transformation initiatives."
IN04,PRR - Inovação e Transição Digital (C16),"MPR - PRESTAÇÃO DE SERVIÇOS E FABRICO DE MOLDES, LDA",8.0,"This company focuses on the manufacturing of moulds, aligning with the eligible sector and activities, making it a suitable candidate for the incentive program."
IN05,Vouchers para Startups - AI Green & Blue,"DREAMCELEBRATION, UNIPESSOAL, LDA",9.5,"This company focuses on the development and commercialization of software that supports the structuring of ideas and business plans, aligning well with the program's emphasis on AI-based digital products."
IN05,Vouchers para Startups - AI Green & Blue,"JOYGLITCH, LDA",9.0,"JOYGLITCH specializes in software programming and development, including AI and digital solutions, which fits perfectly with the eligible activities of the incentive program."
IN05,Vouchers para Startups - AI Green & Blue,KALUZA LIMITED - SUCURSAL EM PORTUGAL,8.8,"This company develops technology products for energy purposes, which can intersect with AI and green technology, making it a strong candidate for the program."
IN05,Vouchers para Startups - AI Green & Blue,"WISENEURON, UNIPESSOAL, LDA",8.5,"WISENEURON engages in IT consulting and business management, which can incorporate AI solutions, aligning with the program's focus on AI-based digital products."
IN05,Vouchers para Startups - AI Green & Blue,"GOTVEE - TECNOLOGIAS DE INFORMAÇÃO, LDA",8.3,"GOTVEE provides IT consulting and software development services, which are relevant to the development of new AI-based digital products, fitting the program's criteria."
IN06,IAPMEI - Sistema de Incentivos à Qualificação e Internacionalização (SIQI),"Tons de Verão - Agência de Viagens, Unipessoal, Lda",9.0,"As a travel agency, this company is well-positioned to benefit from international market entry and trade fairs, aligning perfectly with the program's objectives."
IN06,IAPMEI - Sistema de Incentivos à Qualificação e Internacionalização (SIQI),"Friosotavento - Comércio de Equipamentos Hoteleiros, Lda",8.5,"This company operates in the hospitality sector, which often requires international certifications and participation in trade fairs to enhance its export capacity."
IN06,IAPMEI - Sistema de Incentivos à Qualificação e Internacionalização (SIQI),"Jsvj - International Healthcare Consulting, Lda",8.0,"This company is involved in the healthcare sector, which can greatly benefit from international certifications and market expansion, making it a suitable candidate for the incentive."
IN06,IAPMEI - Sistema de Incentivos à Qualificação e Internacionalização (SIQI),"Geodão - Topografia e Cartografia, Unipessoal, Lda",7.5,"As a consultancy in engineering activities, this company can leverage international certifications and trade fairs to enhance its service offerings and market reach."
IN06,IAPMEI - Sistema de Incentivos à Qualificação e Internacionalização (SIQI),"Calçado Samba, S.A.",7.0,"In the footwear manufacturing industry, this company can utilize the program to gain certifications and access international markets, aligning with the incentive's goals."
IN07,Portugal 2030 - Agendas Mobilizadoras para a Inovação Empresarial,"STAR GENOMICS, LDA",9.5,"This company is engaged in research and experimental development in biotechnology, aligning perfectly with the eligible sector and activity requirements of the incentive program."
IN07,Portugal 2030 - Agendas Mobilizadoras para a Inovação Empresarial,"EXOGENUS THERAPEUTICS, S.A.",9.0,"As a company focused on the development of new therapeutic products in biotechnology, it fits well within the strategic sector and eligible activities for collaborative R&D innovation projects."
IN07,Portugal 2030 - Agendas Mobilizadoras para a Inovação Empresarial,"LOF - INTELLIGENT LAB ON FIBER, UNIPESSOAL, LDA",8.5,"This company specializes in biotechnology research and development, making it a strong candidate for the program's focus on innovation in strategic sectors."
IN07,Portugal 2030 - Agendas Mobilizadoras para a Inovação Empresarial,"MITOTAG, LDA",8.0,"With its focus on biotechnology and the development of active ingredients for pharmaceuticals, this company aligns well with the program's objectives for large collaborative R&D projects."
IN07,Portugal 2030 - Agendas Mobilizadoras para a Inovação Empresarial,"LAB4GENE, LDA",7.5,"This company is involved in genetic research and laboratory services, which fits the innovation and research criteria of the incentive program, although it may not be as directly aligned with supply chain impact."
IN08,Incentivo Fiscal à Recuperação (IFR),"HABITUAL MÉTRICA COMPONENTES METÁLICOS, UNIPESSOAL, LDA",9.5,"This company is involved in the manufacture of metal structures, which likely requires significant investment in machinery and equipment, making it a strong candidate for the IFR."
IN08,Incentivo Fiscal à Recuperação (IFR),"MARIANA VARELA CUNHA, UNIPESSOAL, LDA",9.0,"As a manufacturer of metal doors and windows, this company will likely need to invest in new machinery, aligning well with the IFR's focus on tangible asset investment."
IN08,Incentivo Fiscal à Recuperação (IFR),"SORETRAC PORTUGUESA - COMÉRCIO DE EMBALAGENS E MÁQUINAS, S.A.",8.8,"This company specializes in machinery and packaging, indicating a need for continuous investment in tangible assets, which fits the IFR criteria perfectly."
IN08,Incentivo Fiscal à Recuperação (IFR),"KTUBO INJECTION, LDA",8.5,"Involved in the manufacture of plastic products, this company likely requires investment in specialized machinery, making it a suitable candidate for the IFR."
IN08,Incentivo Fiscal à Recuperação (IFR),"NEVES & CAPELO - AUDIOVISUAIS, LDA",8.0,"This company rents and leases machinery and equipment, which indicates a need for ongoing investment in tangible assets, aligning with the goals of the IFR."
IN09,IAPMEI - Linha de Crédito PME Crescimento,"MATRIZELEMENTAR, LDA",9.0,"This company operates in the real estate sector and is involved in construction and engineering activities, which aligns well with the eligible activities of working capital investment in fixed assets digitalization."
IN09,IAPMEI - Linha de Crédito PME Crescimento,"ENGIRIGOR - ENGENHARIA E CONSTRUÇÕES, UNIPESSOAL, LDA",9.0,"As a company focused on engineering services and construction, it is well-positioned to utilize the subsidized loan for digitalization of fixed assets in its operations."
IN09,IAPMEI - Linha de Crédito PME Crescimento,"CASULO SOFTWARE, UNIPESSOAL, LDA",8.5,"This company specializes in software development and internet services, making it a strong candidate for digitalization investments supported by the loan program."
IN09,IAPMEI - Linha de Crédito PME Crescimento,"SUBSTRATO - ESPAÇOS VERDES E ECO-JARDINAGEM, LDA",8.0,"Engaged in landscape services, this company can benefit from digitalization of its operational processes, aligning with the program's objectives."
IN09,IAPMEI - Linha de Crédito PME Crescimento,"FORÇA NARRATIVA, LDA",8.0,"Involved in marketing and consultancy services, this company can leverage the subsidized loan for enhancing its digital capabilities and operational efficiency."
IN10,Programa Operacional Regional de Lisboa (Lisboa 2030),"BYAR, LDA",9.5,"This company operates in the technology sector, focusing on interactive experiences and digital solutions, aligning perfectly with the program's emphasis on technology innovation and digital transformation."
IN10,Programa Operacional Regional de Lisboa (Lisboa 2030),"SEAMLINK - SEAMLESS ENTERPRISE LINK, LDA",9.0,"As a provider of IT solutions and consulting services, this company fits well within the eligible sectors and activities, particularly in digital transformation and innovation."
IN10,Programa Operacional Regional de Lisboa (Lisboa 2030),"NOSHAPE, LDA",8.5,"This company specializes in technology services and solutions, making it a strong candidate for the program focused on innovation and digital transformation."
IN10,Programa Operacional Regional de Lisboa (Lisboa 2030),"LOGME - GESTÃO DE PROCESSOS DE INFORMAÇÃO, LDA",8.0,"With a focus on information technology and process management, this company aligns with the program's goals of promoting innovation and digital transformation."
IN10,Programa Operacional Regional de Lisboa (Lisboa 2030),"SMARTFREEZ, LDA",7.5,"Although primarily focused on biotechnology, the company's research and development activities can contribute to innovation, making it a relevant candidate for the program."
IN11,PRR - Habitação e Reabilitação Urbana,"MEDIDA PRONTA - CONSTRUÇÃO E CARPINTARIA, LDA",9.5,"This company is directly involved in the construction of residential and non-residential buildings, which aligns perfectly with the eligible activities of building renovation and energy efficiency."
IN11,PRR - Habitação e Reabilitação Urbana,"LES - SOLUÇÕES METÁLICAS INDUSTRIAIS, UNIPESSOAL, LDA",9.0,"They focus on rehabilitation and construction works in various types of buildings, making them a strong candidate for the urban rehabilitation aspect of the program."
IN11,PRR - Habitação e Reabilitação Urbana,"CITYLOFT, LDA",8.8,"Involved in civil construction and real estate transactions, this company is well-positioned to contribute to urban rehabilitation and energy efficiency projects."
IN11,PRR - Habitação e Reabilitação Urbana,"DNR OBRAS, LDA",8.7,"This company specializes in public and private construction projects, including building renovations, which aligns well with the program's focus on energy efficiency and urban rehabilitation."
IN11,PRR - Habitação e Reabilitação Urbana,"ACORDO VERBAL, UNIPESSOAL, LDA",8.5,"Their activities include the construction and restoration of buildings, making them a suitable candidate for the urban rehabilitation and energy efficiency initiatives."
IN12,Portugal 2030 - Transição Energética e Clima (Sustentabilidade),"AMADO & FILIPE, LDA",9.5,"This company is involved in the wholesale of hardware and supplies, including the production and commercialization of electricity from renewable sources like wind and solar, aligning perfectly with the program's focus on renewable energy."
IN12,Portugal 2030 - Transição Energética e Clima (Sustentabilidade),"NATURAL SUSTAINABILITY, LDA",9.0,"Engaged in forestry management and agricultural services, this company promotes sustainability and environmental practices, which are key components of the incentive program."
IN12,Portugal 2030 - Transição Energética e Clima (Sustentabilidade),"HIDROSER - SERVIÇOS E MANUTENÇÃO DE EQUIPAMENTOS HÍDRICOS, LDA",8.5,"This company manufactures general use machines, which can include energy-efficient equipment, making it a suitable candidate for the energy efficiency aspect of the program."
IN12,Portugal 2030 - Transição Energética e Clima (Sustentabilidade),"GERVÁSIO OLIVEIRA TRANSPORTES, LDA",8.0,"As a freight transport company, it can benefit from decarbonization projects and energy efficiency improvements, aligning with the program's goals."
IN12,Portugal 2030 - Transição Energética e Clima (Sustentabilidade),"TRANSPORTES CARAMELO, LDA",7.5,"This company operates in freight transport, which can implement energy efficiency measures and contribute to decarbonization efforts, making it a relevant candidate for the grant."
IN13,COMPETE 2030 - Internacionalização de PME,"ÁGILAPONTAMENTO, UNIPESSOAL, LDA",9.0,"This company operates in the IT sector, which has significant export potential, and its activities include consulting and technical assistance, aligning well with the program's focus on internationalization."
IN13,COMPETE 2030 - Internacionalização de PME,"M.J.S.- SOCIEDADE DE CONSTRUÇÃO CIVIL, LDA",8.5,"As a construction company, it has the potential to expand internationally, especially in markets requiring construction services, making it a strong candidate for the program."
IN13,COMPETE 2030 - Internacionalização de PME,"GODACLA - REPRESENTAÇÕES INTERNACIONAIS, UNIPESSOAL, LDA",8.0,"This company is involved in international trade and represents various products, which aligns perfectly with the program's goal of promoting export activities."
IN13,COMPETE 2030 - Internacionalização de PME,"TRAINING 2 WIN - FORMAÇÃO E CONSULTORIA, UNIPESSOAL, LDA",7.5,"With a focus on training and consultancy, this company can leverage international markets for educational services, fitting well within the program's scope."
IN13,COMPETE 2030 - Internacionalização de PME,"BETTER VIEW - BUSINESS CONSULTING, UNIPESSOAL, LDA",7.0,"This consulting firm specializes in strategic business development, which can greatly benefit from international exposure and aligns with the program's objectives."
IN14,Startup Voucher / Empreendedorismo,"AUTO TÁXIS COIAS, LDA",9.0,"As a taxi operation, this company is likely in the early stages of business setup, making it a strong candidate for the Startup Voucher aimed at covering initial business creation costs."
IN14,Startup Voucher / Empreendedorismo,"AVENTURA ECOLÓGICA, LDA",9.0,"This company operates in the taxi sector and is likely a new venture, aligning well with the program's focus on first-time entrepreneurs and early-stage business costs."
IN14,Startup Voucher / Empreendedorismo,"2 IDEIAS - COMÉRCIO DE EQUIPAMENTOS DE EXTERIOR, UNIPESSOAL, LDA",8.5,"As a new business in non-specialized wholesale trade, it fits the criteria of being a first-time entrepreneur and is eligible for the grant to cover initial setup costs."
IN14,Startup Voucher / Empreendedorismo,"H2IT CONSULTING, LDA",8.0,"This computer consultancy company is likely in its early stages, making it a suitable candidate for the grant aimed at covering business creation costs for new ventures."
IN14,Startup Voucher / Empreendedorismo,"MARKUS BOSCH, LDA",8.0,"Involved in real estate, this company is likely a first-time entrepreneur, making it eligible for the Startup Voucher to support its initial business setup expenses."
IN15,PRR - Digitalização da Administração Pública e Empresas (C16-i02),"APPIAN PORTUGAL, UNIPESSOAL, LDA",9.5,"This company specializes in consulting and programming related to AI solutions and technological applications, making it a strong fit for the PRR funding focused on AI and data infrastructure."
IN15,PRR - Digitalização da Administração Pública e Empresas (C16-i02),"IZYSOLUTIONS PORTUGAL, UNIPESSOAL,LDA",9.0,"With a focus on data processing and management, this company aligns well with the eligible activities of the PRR program, particularly in data infrastructure."
IN15,PRR - Digitalização da Administração Pública e Empresas (C16-i02),"FLUXODATA - APLICAÇÕES INFORMÁTICAS, LDA",8.8,"This company provides data processing services, which is directly relevant to the PRR's emphasis on digital government services and data infrastructure."
IN15,PRR - Digitalização da Administração Pública e Empresas (C16-i02),"LAB24 - INFORMÁTICA E ELECTRÓNICA, UNIPESSOAL, LDA",8.5,Their expertise in IT consulting and electronic systems positions them well for the PRR funding aimed at enhancing digital government services.
IN15,PRR - Digitalização da Administração Pública e Empresas (C16-i02),"THESIGNOFTIME - TECNOLOGIAS DE INFORMAÇÃO, LDA",8.3,"This company focuses on developing solutions in information technology and communication, which aligns with the PRR's goals for digitalization in both public and private sectors."
IN16,Horizonte Europa - Missões e Parcerias,"MARVELLOUS WAVE - ATIVIDADES AQUÍCOLAS, S.A.",9.5,"This company operates in marine aquaculture, which aligns well with the EU's focus on innovative and sustainable practices. Their activities include research and commercialization, making them a strong candidate for collaborative R&D projects."
IN16,Horizonte Europa - Missões e Parcerias,"TCJO - TRADING COMERCIAL, UNIPESSOAL, LDA",9.0,"As a computer consultancy, TCJO is well-positioned to contribute to AI-related projects, which have a high success rate under the program. Their focus on technology aligns with the program's goals for frontier R&D."
IN16,Horizonte Europa - Missões e Parcerias,"ARMANDO RITO ENGENHARIA, S.A.",8.8,"This engineering company specializes in technical consultancy, making it a suitable partner for collaborative innovation projects across EU member states, particularly in areas related to infrastructure and technology."
IN16,Horizonte Europa - Missões e Parcerias,"ECOAIRSOLUTIONS, UNIPESSOAL, LDA",8.5,"ECOAIRSOLUTIONS is involved in the wholesale of machinery and equipment, which can support green transition initiatives. Their activities can contribute to collaborative R&D efforts in sustainability."
IN16,Horizonte Europa - Missões e Parcerias,"JOSÉ CLÁUDIO GASTÃO & FILHOS, LDA",8.0,"This company operates in the wholesale of fuels and maintenance services, which can be relevant for projects focused on energy efficiency and sustainability, aligning with the program's objectives."
IN17,IAPMEI Tech Visa,"PASSWORKS, S.A.",9.5,"This company is focused on the development, implementation, and commercialization of technological solutions, making it a strong candidate for hiring international tech talent."
IN17,IAPMEI Tech Visa,"BLOCK STUDIO, LDA",9.0,"With a focus on mobile app development and consulting in technology, this company is well-positioned to benefit from the IAPMEI Tech Visa program."
IN17,IAPMEI Tech Visa,"GENEROUSTARGET, UNIPESSOAL, LDA",8.8,"This company specializes in software development and IT consulting, aligning perfectly with the program's goal of hiring international tech talent."
IN17,IAPMEI Tech Visa,"ETHERNET - SOLUÇÕES INFORMÁTICAS, LDA",8.5,Their expertise in system integration and database technologies makes them a suitable candidate for attracting non-EU tech workers.
IN17,IAPMEI Tech Visa,"WEB IDEIAS - SERVIÇOS DE INTERNET, LDA",8.3,"This company focuses on IT solutions for the internet, which requires skilled tech talent, making them a good fit for the IAPMEI Tech Visa program."
IN18,BPF - Banco Português de Fomento Linhas PME,"RADICALSCORPION, LDA",9.0,"This company operates in the sale and maintenance of vehicles, which aligns well with the eligible activities of capital investment and working capital. As an SME, it fits perfectly within the program's target audience."
IN18,BPF - Banco Português de Fomento Linhas PME,"QUINTA DA BOAVISTA - CONSTRUÇÃO, LDA",8.5,"Operating in the construction sector, this company is eligible for capital investment and working capital activities, making it a strong candidate for the program. Its focus on residential and non-residential buildings aligns with the program's objectives."
IN18,BPF - Banco Português de Fomento Linhas PME,"ALMAATPORTO - TURISMO E ANIMAÇÃO, UNIPESSOAL, LDA",8.0,"This company is involved in organizing tourism activities, which can benefit from internationalization and capital investment. As an SME, it meets the eligibility criteria for the funding program."
IN18,BPF - Banco Português de Fomento Linhas PME,"M5 - CONSULTORES IMOBILIÁRIOS, S.A.",7.5,"As a real estate consultancy, this company can utilize the funding for working capital and internationalization efforts, making it a suitable candidate for the program. Its activities align with the program's goals."
IN18,BPF - Banco Português de Fomento Linhas PME,"DREAM TRANSACTION, LDA (ZONA FRANCA DA MADEIRA)",7.0,"This company focuses on software development, which is a key area for R&D funding. Its innovative approach aligns with the program's objectives, and it qualifies as an SME."
IN19,Portugal 2030 - Investigação e Inovação (C05),"MAINFYLD, UNIPESSOAL, LDA",9.0,"This company operates in computer consultancy and has the potential to partner with universities for applied research in AI, aligning well with the program's focus."
IN19,Portugal 2030 - Investigação e Inovação (C05),"TIAGO REIS ANTUNES, UNIPESSOAL, LDA",8.5,"As a company involved in computer programming activities, it is well-positioned to collaborate with academic institutions on innovative AI projects."
IN19,Portugal 2030 - Investigação e Inovação (C05),"COHEN & NAVARRO, LDA",8.0,"This company is engaged in IT services, which can facilitate partnerships with universities for applied research in technology and AI."
IN19,Portugal 2030 - Investigação e Inovação (C05),"DYNAMIC CHOICE TRAVELS, UNIPESSOAL, LDA",7.5,"While primarily in taxi operations, this company could explore innovative tech solutions in transportation, making it a potential candidate for academic partnerships."
IN19,Portugal 2030 - Investigação e Inovação (C05),"JAMOLDES - PROJECTO E FABRICAÇÃO DE MOLDES, LDA",7.0,"This manufacturing company could benefit from applied research collaborations with universities, particularly in developing advanced manufacturing technologies."
IN20,FINOVA / Fundo de Inovação e Empreendedorismo,"GRA NUTRA PORTUGAL, S.A.",9.5,"This company operates in the biotechnology sector and focuses on the development and commercialization of innovative products, aligning perfectly with the FINOVA program's objectives."
IN20,FINOVA / Fundo de Inovação e Empreendedorismo,"CYBER-EASE CONSULTORES, LDA",8.5,"As a technology company providing consulting services in information security, it fits within the technology sector and is likely involved in innovative practices."
IN20,FINOVA / Fundo de Inovação e Empreendedorismo,"FRONTBOX, LDA",8.0,"This company operates in the information technology sector, providing services related to computer equipment and software, which aligns with the program's focus on technology."
IN20,FINOVA / Fundo de Inovação e Empreendedorismo,"INFORNASH - SISTEMAS DE INFORMAÇÃO, UNIPESSOAL, LDA",7.5,"This company is involved in the IT sector, offering software and information services, which indicates a potential for innovation and growth."
IN20,FINOVA / Fundo de Inovação e Empreendedorismo,"SOLUÇÕES CARDINAL - INFORMÁTICA, LDA",7.0,"This company is engaged in the import and export of IT equipment and services, which aligns with the technology focus of the FINOVA program."
